Unique_Sample_ID,Condition_Name,t#,pH,buffer,nucleoside,concentrations,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
2024-08-27-cuvette-blank-x5-naoh-3,blank,,,,,,./lab-data-processed/cary300/2024-08/RTG6/2024-08-27-cuvette-blank-x5-naoh-3.tsv,Abs,0,nan,nan,240,349,nan,,,1
uid25,x31,t0,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t0-1.tsv,Abs,0,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid26,x31,t1,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t1-2.tsv,Abs,0.33,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid27,x31,t2,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t2-4.tsv,Abs,1,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid28,x31,t3,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t3-5.tsv,Abs,2,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid29,x31,t4,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t4-6.tsv,Abs,3.1,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid30,x31,t5,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t5-7.tsv,Abs,5.1,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid31,x31,t6,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t6-8.tsv,Abs,8.1,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid32,x31,t7,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t7-9.tsv,Abs,12,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
uid33,x31,t8,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-08/RTG7/2024-08-27-RTG7-x31-t8-10.tsv,Abs,30,2024-08-27-cuvette-blank-x5-naoh-3,1,240,349,271,./lab-data-reference-spectra/2024-05-14-RTG4-Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/2024-05-14-RTG4-Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
