Unique_Sample_ID,Condition_Name,measured on date,prepared from stock,t#,pH,buffer,nucleoside,concentrations,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
blank,blank,,,,,,,,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-blank-1.tsv,Abs,,,,250,349,,,,1
uid12,x41,2024-09-01,x39,t0,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t0-2.tsv,Abs,0.33,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid13,x41,2024-09-01,x39,t1,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t1-3.tsv,Abs,1,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid14,x41,2024-09-01,x39,t2,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t2-4.tsv,Abs,2,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid15,x41,2024-09-01,x39,t3,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t3-5.tsv,Abs,3,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid16,x41,2024-09-01,x39,t4,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t4-6.tsv,Abs,5,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid17,x41,2024-09-01,x39,t5,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t5-7.tsv,Abs,10,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid18,x41,2024-09-01,x39,t6,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t6-8.tsv,Abs,15,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid19,x41,2024-09-01,x39,t7,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t7-17.tsv,Abs,26.5,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid11,x41,2024-09-01,x39,t9,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t9-20.tsv,Abs,43,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid10,x41,2024-09-01,x39,t10,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t10-22.tsv,Abs,53,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid9,x41,2024-09-01,x39,t11,5,"universal mix, pH adjusted to 5",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x41-t11-24.tsv,Abs,60,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
,,,,,,,,,,,,,,,,,,,
uid20,x42,2024-09-01,x40,t0,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x42-t0-9.tsv,Abs,0.33,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid21,x42,2024-09-01,x40,t1,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x42-t1-10.tsv,Abs,1,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid22,x42,2024-09-01,x40,t2,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x42-t2-11.tsv,Abs,2,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid23,x42,2024-09-01,x40,t3,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x42-t3-12.tsv,Abs,3,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid24,x42,2024-09-01,x40,t4,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x42-t4-13.tsv,Abs,5,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid25,x42,2024-09-01,x40,t5,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x42-t5-14.tsv,Abs,10,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid26,x42,2024-09-01,x40,t6,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG11/2024-09-01-RTG11-x42-t6-15.tsv,Abs,15,blank,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
