Unique_Sample_ID,Condition_Name,t#,pH,buffer,nucleoside,concentrations,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
2024-09-01-x33-4,blank,,,,,,./lab-data-processed/cary300/2024-09/RTG8/2024-09-01-RTG8-x33-4.tsv,Abs,,,,240,349,,,,1
uid1,x32,t0,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t0-2.tsv,Abs,0.2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid2,x32,t1,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t1-3.tsv,Abs,1,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid3,x32,t2,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t2-4.tsv,Abs,2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid4,x32,t3,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t3-5.tsv,Abs,3,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid5,x32,t4,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t4-6.tsv,Abs,4,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid6,x32,t5,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t5-7.tsv,Abs,5,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid7,x32,t6,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t6-8.tsv,Abs,10,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid8,x32,t7,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t7-10.tsv,Abs,15.2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid9,x32,t8,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t8-11.tsv,Abs,20,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
