Unique_Sample_ID,Condition_Name,t#,pH,buffer,nucleoside,concentrations,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
blank,blank,,,,,,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-x33-3.tsv,Abs,,,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid1,"x45, pH 9",t0,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t0-11.tsv,Abs,0.2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid2,"x45, pH 9",t1,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t1-14.tsv,Abs,1.2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid3,"x45, pH 9",t2,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t2-17.tsv,Abs,2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid4,"x45, pH 9",t3,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t3-20.tsv,Abs,3,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid5,"x45, pH 9",t4,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t4-24.tsv,Abs,4,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid6,"x45, pH 9",t5,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t5-27.tsv,Abs,6,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid7,"x45, pH 9",t6,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t6-30.tsv,Abs,10,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid8,"x45, pH 9",t7,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t7-33.tsv,Abs,16,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid9,"x45, pH 9",t8,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t8-35.tsv,Abs,25,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid10,"x45, pH 9",t9,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t9-39.tsv,Abs,49,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
