Unique_Sample_ID,Condition_Name,description,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
air,air,air path only,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-air-1.tsv,Abs,0,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
blank,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-2.tsv,Abs,2,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid2,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-4.tsv,Abs,4,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid3,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-6.tsv,Abs,6,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid4,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-8.tsv,Abs,8,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid5,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-10.tsv,Abs,10,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid6,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-23.tsv,Abs,23,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid7,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-43.tsv,Abs,43,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid8,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-44.tsv,Abs,44,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid9,water,water as blank in cuvette,/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-water-50.tsv,Abs,50,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid10,x33 from bottle,"x33 taken directly from stock bottle, pipetted into cuvette and measured directly",/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-x33-3.tsv,Abs,10,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid11,x33 from eppi,"x33 taken directly from stock bottle, then pipetted into an eppi, then directly pipetted from there into the cuvette and measured directly",/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-x33-from-tube-9.tsv,Abs,11,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid12,x33 stored 1,"x33 taken from the first two of eppis which were prepared on 2024-09-01, i.e. 5 days before",/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-x33-stored-5.tsv,Abs,12,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid13,x33 stored 2,"x33 taken from a second set of two eppis which were prepared on 2024-09-01, i.e. 5 days before",/home/r.giessmann/git/lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-x33-stored-7.tsv,Abs,13,blank,1,220,349,0,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
