Unique_Sample_ID,Condition_Name,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
blank,blank,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-1.tsv,Abs,,,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid1,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-2.tsv,Abs,2,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid2,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-3.tsv,Abs,3,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid3,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-6.tsv,Abs,6,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid4,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-9.tsv,Abs,9,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid5,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-15.tsv,Abs,15,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid6,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-23.tsv,Abs,23,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid7,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-30.tsv,Abs,30,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid8,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-37.tsv,Abs,37,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid9,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-44.tsv,Abs,44,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid10,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-51.tsv,Abs,51,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid11,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-58.tsv,Abs,58,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid12,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-67.tsv,Abs,67,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid13,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-69.tsv,Abs,69,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid14,air,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-air-78.tsv,Abs,78,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid15,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-8.tsv,Abs,8,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid16,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-10.tsv,Abs,10,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid17,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-11.tsv,Abs,11,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid18,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-13.tsv,Abs,13,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid19,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-16.tsv,Abs,16,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid20,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-20.tsv,Abs,20,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid21,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-24.tsv,Abs,24,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid22,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-31.tsv,Abs,31,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid23,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-38.tsv,Abs,38,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid24,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-45.tsv,Abs,45,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid25,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-52.tsv,Abs,52,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid26,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-59.tsv,Abs,59,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid27,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-60.tsv,Abs,60,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid28,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-68.tsv,Abs,68,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid29,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-70.tsv,Abs,70,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
uid30,water,./lab-data-processed/cary300/2024-10/RTG13/2024-10-01-RTG13-water-79.tsv,Abs,79,blank,1,250,349,-1,./lab-data-reference-spectra/dummy.csv,./lab-data-reference-spectra/dummy.csv,1
