Unique_Sample_ID,Condition_Name,t#,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
blank1,blank 1,,./lab-data-processed/cary300/2024-11/RTG14/2024-11-22-RTG14-x57-blank-26.tsv,Abs,,,,,,,,,1
uid1,x59,t0,./lab-data-processed/cary300/2024-11/RTG14/2024-11-22-RTG14-x59-t0-34.tsv,Abs,0,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
,,,,,,,,,,,,,
blank2,blank 2,,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x57-blank-2.tsv,Abs,,,,,,,,,1
uid2,x59,t1,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t1-5.tsv,Abs,0.17,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid3,x59,t2,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t2-6.tsv,Abs,1,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid4,x59,t3,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t3-7.tsv,Abs,2,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid5,x59,t4,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t4-8.tsv,Abs,3,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid6,x59,t5,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t5-9.tsv,Abs,5,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid7,x59,t6,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t6-10.tsv,Abs,8,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid8,x59,t7,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t7-12.tsv,Abs,23,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid9,x59,t8,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t8-13.tsv,Abs,43,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid10,x59,t9,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t9-15.tsv,Abs,55,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid11,x59,t10,./lab-data-processed/cary300/2024-11/RTG15/2024-11-22-RTG15-x59-t10-16.tsv,Abs,90,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
