Unique_Sample_ID,Condition_Name,t#,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
blank1,blank 1,,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-water-3.tsv,Abs,,,,,,,,,1
blank2,blank 2,,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-water-56.tsv,Abs,,,,,,,,,1
,,,,,,,,,,,,,
RTG16_4,x62,t0,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t0-4.tsv,Abs,0,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_14,x62,t10,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t10-14.tsv,Abs,64,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_5,x62,t1,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t1-5.tsv,Abs,2,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_6,x62,t2,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t2-6.tsv,Abs,5,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_7,x62,t3,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t3-7.tsv,Abs,8,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_8,x62,t4,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t4-8.tsv,Abs,15,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_9,x62,t5,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t5-9.tsv,Abs,25,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
