Unique_Sample_ID,Condition_Name,t#,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
RTG18_11,x69,t0,./lab-data-processed/cary300/2025-02/RTG18/2025-02-17-RTG18-x69-t0-11.tsv,Abs,0,blank_RTG18_10,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG18_12,x72,t0,./lab-data-processed/cary300/2025-02/RTG18/2025-02-17-RTG18-x72-t0-12.tsv,Abs,0,blank_RTG18_10,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG18_13,x75,t0,./lab-data-processed/cary300/2025-02/RTG18/2025-02-17-RTG18-x75-t0-13.tsv,Abs,0,blank_RTG18_10,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG18_14,x78,t0,./lab-data-processed/cary300/2025-02/RTG18/2025-02-17-RTG18-x78-t0-14.tsv,Abs,0,blank_RTG18_10,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG18_15,x81,t0,./lab-data-processed/cary300/2025-02/RTG18/2025-02-17-RTG18-x81-t0-15.tsv,Abs,0,blank_RTG18_10,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG18_16b,x84,t0,./lab-data-processed/cary300/2025-02/RTG18/2025-02-17-RTG18-x84-t0-16b.tsv,Abs,0,blank_RTG18_10,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG18_17,x87,t0,./lab-data-processed/cary300/2025-02/RTG18/2025-02-17-RTG18-x87-t0-17.tsv,Abs,0,blank_RTG18_10,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG18_18,x90,t0,./lab-data-processed/cary300/2025-02/RTG18/2025-02-17-RTG18-x90-t0-18.tsv,Abs,0,blank_RTG18_10,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
